Degree,Specialization,CGPA,JobRole
MBA,Business Analytics,6.59,Business Analyst
BBA,Marketing,7.17,Marketing Manager
B.Sc,Mathematics,8.89,Quantitative Analyst
B.Com,Banking,8.71,Bank Officer
B.Tech,Computer Science,8.37,Software Engineer
BBA,Marketing,8.17,Marketing Manager
BBA,Marketing,7.96,Marketing Manager
BA,Economics,8.09,Economic Analyst
BBA,HR,8.38,HR Executive
MBA,HR,7.77,HR Executive
MBBS,General Medicine,7.25,Doctor
MCA,Computer Applications,8.82,Application Developer
B.Sc,Nursing,7.39,Staff Nurse
B.Tech,Computer Science,8.65,Software Engineer
MBBS,General Medicine,8.62,Doctor
B.Com,Finance,7.12,Financial Analyst
B.Tech,Civil,7.52,Site Engineer
MBA,Operations,6.79,Operations Manager
BBA,Marketing,8.27,Marketing Manager
B.Sc,Nursing,7.25,Staff Nurse
MBBS,General Medicine,8.9,Doctor
MBBS,General Medicine,7.71,Doctor
B.Com,Finance,7.85,Financial Analyst
B.Tech,Data Science,8.14,Data Scientist
B.Sc,Chemistry,7.72,Lab Analyst
B.Tech,Electronics,8.85,Embedded Systems Engineer
MBBS,General Medicine,8.29,Doctor
BBA,Entrepreneurship,7.42,Business Development Executive
MBBS,General Medicine,7.44,Doctor
MCA,Computer Applications,7.87,Application Developer
BA,Economics,8.05,Economic Analyst
MCA,Computer Applications,8.04,Application Developer
B.Pharm,Pharmacy,8.27,Pharmacist
B.Com,Banking,7.62,Bank Officer
B.Tech,Electronics,8.65,Embedded Systems Engineer
B.Tech,Electronics,7.83,Embedded Systems Engineer
B.Sc,Physics,8.79,Research Associate
B.Pharm,Pharmacy,8.1,Pharmacist
MCA,Computer Applications,6.86,Application Developer
B.Tech,Data Science,7.33,Data Scientist
B.Sc,Chemistry,8.09,Lab Analyst
B.Pharm,Pharmacy,8.03,Pharmacist
MCA,Computer Applications,6.92,Application Developer
B.Tech,Information Technology,6.61,IT Analyst
BA,Economics,7.81,Economic Analyst
MBBS,General Medicine,8.7,Doctor
B.Sc,Physics,8.97,Research Associate
MCA,Computer Applications,8.92,Application Developer
B.Sc,Mathematics,8.32,Quantitative Analyst
MCA,Computer Applications,8.91,Application Developer
B.Pharm,Pharmacy,8.42,Pharmacist
B.Tech,Data Science,8.4,Data Scientist
B.Tech,Data Science,8.18,Data Scientist
MBBS,General Medicine,7.76,Doctor
MCA,Computer Applications,8.97,Application Developer
BBA,HR,8.37,HR Executive
B.Pharm,Pharmacy,6.87,Pharmacist
B.Sc,Physics,6.73,Research Associate
B.Pharm,Pharmacy,7.38,Pharmacist
MCA,Computer Applications,7.23,Application Developer
BA,Public Administration,7.47,Policy Analyst
BA,Economics,7.12,Economic Analyst
B.Com,Accounting,6.86,Accountant
MCA,Computer Applications,6.57,Application Developer
BA,English,7.84,Content Specialist
BBA,Entrepreneurship,6.73,Business Development Executive
MCA,Computer Applications,6.97,Application Developer
MBBS,General Medicine,8.18,Doctor
MBA,Business Analytics,8.52,Business Analyst
BA,Economics,6.82,Economic Analyst
B.Pharm,Pharmacy,7.9,Pharmacist
B.Sc,Physics,7.54,Research Associate
B.Sc,Statistics,8.97,Data Analyst
B.Tech,Information Technology,8.84,IT Analyst
B.Pharm,Pharmacy,7.64,Pharmacist
MBBS,General Medicine,8.59,Doctor
B.Tech,Computer Science,7.53,Software Engineer
B.Sc,Physics,7.23,Research Associate
B.Com,Taxation,8.65,Tax Consultant
MBA,Business Analytics,8.95,Business Analyst
BA,English,6.9,Content Specialist
MBA,Finance,7.51,Financial Analyst
BA,Public Administration,8.4,Policy Analyst
B.Sc,Physics,7.12,Research Associate
MBBS,General Medicine,6.68,Doctor
B.Sc,Biotechnology,7.29,Biotech Associate
MBA,Operations,6.74,Operations Manager
MCA,Computer Applications,7.1,Application Developer
BBA,Entrepreneurship,7.88,Business Development Executive
MBBS,General Medicine,8.02,Doctor
MCA,Computer Applications,8.22,Application Developer
MBA,Operations,7.99,Operations Manager
BBA,Marketing,8.48,Marketing Manager
BBA,HR,8.16,HR Executive
MCA,Computer Applications,7.46,Application Developer
MBBS,General Medicine,7.05,Doctor
BA,Public Administration,6.54,Policy Analyst
BBA,HR,7.1,HR Executive
MCA,Computer Applications,6.74,Application Developer
MBBS,General Medicine,8.55,Doctor
BA,Economics,7.11,Economic Analyst
B.Tech,Electronics,8.99,Embedded Systems Engineer
B.Sc,Chemistry,7.12,Lab Analyst
MBBS,General Medicine,6.81,Doctor
B.Com,Banking,8.78,Bank Officer
MCA,Computer Applications,8.89,Application Developer
MBBS,General Medicine,7.0,Doctor
MBA,Business Analytics,6.79,Business Analyst
MCA,Computer Applications,7.02,Application Developer
MBBS,General Medicine,8.14,Doctor
MBBS,General Medicine,8.5,Doctor
BBA,Finance,8.2,Financial Analyst
MBBS,General Medicine,8.35,Doctor
B.Sc,Nursing,7.45,Staff Nurse
BBA,Marketing,8.05,Marketing Manager
B.Com,Banking,8.58,Bank Officer
BA,Economics,8.37,Economic Analyst
MCA,Computer Applications,7.18,Application Developer
B.Com,Taxation,7.3,Tax Consultant
BBA,Entrepreneurship,7.08,Business Development Executive
MCA,Computer Applications,8.04,Application Developer
B.Tech,Mechanical,8.37,Mechanical Design Engineer
